ID,smiles,dG_bind,comRMSD
PV-004740099668,C1C[NH2+]CCC1N4C=C(NC(=O)C3=CC=CC(NC(=O)C2=CC=CN=C2)=C3)C=N4,-11.65878205,0.8182567521872338
Z2451096380,C1C[NH2+]CCC1N3C=C(NC(=O)C2=CC=CC(NC(=O)C)=C2)C=N3,-11.63344793,0.3939028635451778
Z2451096235,C1C[NH2+]CCC1N3C=C(NC(=O)C2=CC=CC=C2)C=N3,-11.10656661,0.2935280671255753
Z2451096209,C1C[NH2+]CCC1N3C=C(NC(=O)C2=CC=CC=C2C(F)(F)F)C=N3,-10.73510552,0.2669889393776454
Z3104214173,C1C[NH2+]CCC1N3C=C(NC(=O)C2=CC=C(O)C(C)=C2)C=N3,-10.47639207,0.4048982616321379
Z4002297688,C1C[NH2+]CCC1N4C=C(NC(=O)C3=CC=CC2=NC(C)=NN23)C=N4,-9.050643159,0.5515712097423746
Z3104214179,C1C[NH2+]CCC1N3C=C(NC(=O)C2=CC=CC(=O)N2)C=N3,-8.345067731,0.3014581428735372
Z2451096211,C1C[NH2+]CCC1N3C=C(NC(=O)C2=CC=CC(Cl)=C2)C=N3,-8.048833535,0.4228351164630084
Z396117078self,Cn1cc(NC(=O)c2ccccc2C(F)(F)F)cn1,-7.454849995,0.14881390710336337
Z2451099201,C1C[NH2+]CCC1N3C=C(NC(=O)C2=CC(=O)NC=C2)C=N3,-6.670223002,0.29811576929904593
Z425338146self,[H]c1c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c([H])c1N1C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C1([H])[H],-6.6316193,0.3613149536866358
